filename,error_type,inject_at_move,total_moves,original_move,corrupted_move,cascade_length,shift_starts_at
game_000001.pgn,2,38.0,71.0,Bg5+,8g5+,,
game_000002.pgn,4,22.0,29.0,Qh5+,,6.0,22.0
game_000003.pgn,4,11.0,38.0,Nf6,,26.0,11.0
game_000004.pgn,4,7.0,55.0,Bg4,,47.0,7.0
game_000005.pgn,2,10.0,84.0,Nc3,Mc3,,
game_000006.pgn,1,18.0,61.0,Bh4,Ka9,,
game_000007.pgn,4,33.0,49.0,bxc4,,15.0,33.0
game_000008.pgn,1,11.0,72.0,O-O,Qh8,,
game_000009.pgn,2,45.0,68.0,h6,h7,,
game_000010.pgn,2,49.0,63.0,Rb8,Pb8,,
game_000011.pgn,4,54.0,67.0,Rb5,,12.0,54.0
game_000012.pgn,1,62.0,95.0,Qxe6+,Nz5,,
game_000013.pgn,2,28.0,33.0,Qe1+,Oe1+,,
game_000014.pgn,3,26.0,48.0,Nc3,,,
game_000015.pgn,3,55.0,77.0,Rfe8,,,
game_000016.pgn,1,9.0,22.0,fxe4,Rb9,,
game_000017.pgn,4,18.0,52.0,Bf7,,33.0,18.0
game_000018.pgn,2,89.0,93.0,Ka1,Xa1,,
game_000019.pgn,3,73.0,99.0,Kd7,,,
game_000020.pgn,4,18.0,31.0,e4,,12.0,18.0
game_000021.pgn,1,8.0,47.0,Bxc6+,Ka9,,
game_000022.pgn,4,4.0,29.0,Bb5,,24.0,4.0
game_000023.pgn,1,9.0,56.0,d6,Nz5,,
game_000024.pgn,2,37.0,50.0,Bd7,8d7,,
game_000025.pgn,1,55.0,63.0,Kg7,Rb9,,
game_000026.pgn,1,7.0,42.0,Nd5,Qh8,,
game_000027.pgn,3,39.0,45.0,Ke6,,,
game_000028.pgn,4,34.0,47.0,Kd1,,12.0,34.0
game_000029.pgn,4,35.0,93.0,Rfxd8,,57.0,35.0
game_000030.pgn,3,69.0,94.0,Nxb3,,,
game_000031.pgn,4,25.0,84.0,dxc4,,58.0,25.0
game_000032.pgn,3,53.0,58.0,Rc1,,,
game_000033.pgn,4,49.0,63.0,Re4,,13.0,49.0
game_000034.pgn,3,6.0,90.0,d3,,,
game_000035.pgn,4,7.0,31.0,c5,,23.0,7.0
game_000036.pgn,1,47.0,58.0,Rb8,Qh8,,
game_000037.pgn,4,32.0,36.0,Rf1,,3.0,32.0
game_000038.pgn,4,36.0,59.0,Bh5+,,22.0,36.0
game_000039.pgn,2,18.0,69.0,Bb5,8b5,,
game_000040.pgn,3,4.0,40.0,Bd5,,,
game_000041.pgn,3,33.0,58.0,Rc8,,,
game_000042.pgn,1,65.0,74.0,b4,Qа9,,
game_000043.pgn,3,21.0,39.0,Qh6,,,
game_000044.pgn,1,30.0,88.0,Bxd6,Qа9,,
game_000045.pgn,1,5.0,27.0,Nf6,Ka9,,
game_000046.pgn,3,7.0,53.0,d5,,,
game_000047.pgn,3,33.0,68.0,Nf4,,,
game_000048.pgn,4,26.0,53.0,fxe4,,26.0,26.0
