filename,error_type,inject_at_move,total_moves,original_move,corrupted_move,cascade_length
game_000001.pgn,2,38,71,Bg5+,8g5+,
game_000002.pgn,4,22,29,Qh5+,Qh5+,6
game_000003.pgn,4,11,38,Nf6,Nf6,26
game_000004.pgn,4,7,55,Bg4,Bg4,47
game_000005.pgn,2,10,84,Nc3,Mc3,
game_000006.pgn,1,18,61,Bh4,Ka9,
game_000007.pgn,4,33,49,bxc4,bxc4,15
game_000008.pgn,1,11,72,O-O,Qh8,
game_000009.pgn,2,45,68,h6,h7,
game_000010.pgn,2,49,63,Rb8,Pb8,
game_000011.pgn,4,54,67,Rb5,Rb5,12
game_000012.pgn,1,62,95,Qxe6+,Nz5,
game_000013.pgn,2,28,33,Qe1+,Oe1+,
game_000014.pgn,3,26,48,Nc3,Nc3,
game_000015.pgn,3,55,77,Rfe8,Rfe8,
game_000016.pgn,1,9,22,fxe4,Rb9,
game_000017.pgn,4,18,52,Bf7,Bf7,33
game_000018.pgn,2,89,93,Ka1,Xa1,
game_000019.pgn,3,73,99,Kd7,Kd7,
game_000020.pgn,4,18,31,e4,e4,12
game_000021.pgn,1,8,47,Bxc6+,Ka9,
game_000022.pgn,4,4,29,Bb5,Bb5,24
game_000023.pgn,1,9,56,d6,Nz5,
game_000024.pgn,2,37,50,Bd7,8d7,
game_000025.pgn,1,55,63,Kg7,Rb9,
game_000026.pgn,1,7,42,Nd5,Qh8,
game_000027.pgn,3,39,45,Ke6,Ke6,
game_000028.pgn,4,34,47,Kd1,Kd1,12
game_000029.pgn,4,35,93,Rfxd8,Rfxd8,57
game_000030.pgn,3,69,94,Nxb3,Nxb3,
game_000031.pgn,4,25,84,dxc4,dxc4,58
game_000032.pgn,3,53,58,Rc1,Rc1,
game_000033.pgn,4,49,63,Re4,Re4,13
game_000034.pgn,3,6,90,d3,d3,
game_000035.pgn,4,7,31,c5,c5,23
game_000036.pgn,1,47,58,Rb8,Qh8,
game_000037.pgn,4,32,36,Rf1,Rf1,3
game_000038.pgn,4,36,59,Bh5+,Bh5+,22
game_000039.pgn,2,18,69,Bb5,8b5,
